split_idx,day,intraday_min_pnl,intraday_max_pnl,final_pnl,n_trades,max_consecutive_losses
7,20220829,-357.0000,341.4300,172.7350,86,7
7,20220830,-51.6700,662.4300,656.2300,123,7
7,20220831,-489.1200,98.8400,-258.9300,107,7
7,20220901,-119.9000,1322.6450,1171.6350,101,8
7,20220902,-3.7000,2509.3550,2168.1950,132,9
7,20220906,146.2600,2157.6850,2095.8750,150,7
7,20220907,17.8000,789.3000,654.3900,64,6
7,20220908,97.5100,2957.3300,2957.3300,108,7
7,20220909,-6.2300,714.9050,714.9050,53,5
7,20220912,-53.6800,226.9500,226.9500,70,5
7,20220913,-1020.3900,-11.2400,-1020.3900,86,9
7,20220914,-400.3800,572.9200,-310.9450,93,13
7,20220915,-748.8650,612.5650,-535.1200,113,9
7,20220916,-452.2500,472.7750,472.7750,90,7
7,20220919,-307.3900,486.4650,475.2250,85,5
7,20220920,-749.4500,153.9700,-380.5400,71,5
7,20220921,-5408.2300,2455.2550,-5365.7100,179,13
8,20220103,-184.8800,782.5550,782.5550,68,12
8,20220104,-41.1900,643.5350,529.3500,60,5
8,20220105,-82.0900,230.1900,-60.8300,42,9
8,20220106,-1492.3150,12.5300,-651.6550,147,9
8,20220107,-301.1400,916.0750,394.6600,91,10
8,20220110,-858.6550,788.0350,788.0350,116,8
8,20220111,-2584.7550,95.9050,-2035.0800,117,11
8,20220112,-356.0100,159.4900,27.1200,87,9
8,20220113,-221.7650,454.6400,210.4650,109,8
8,20220114,-240.3550,1746.5400,1746.5400,154,9
8,20220118,-208.3050,467.4550,424.4150,129,7
8,20220119,-380.3950,1620.8300,604.1650,104,7
8,20220120,-1252.2250,416.4500,-1230.9650,91,10
8,20220121,-1960.3550,498.4050,429.7050,283,10
8,20220124,-6589.8500,82.5400,-5939.8850,449,9
8,20220125,-595.3450,1940.7750,-276.5000,350,7
8,20220126,-888.4500,462.3850,-867.1900,156,5
8,20220127,-381.5650,6533.0150,5471.9200,317,8
8,20220128,-4943.6000,1807.9500,-4031.7950,258,9
8,20220131,-282.6350,720.2950,720.2950,92,7
8,20220201,-1293.0150,351.9650,-1087.1900,156,15
8,20220922,-610.2450,214.6600,203.4200,92,21
8,20220923,-349.2500,579.6700,579.6700,92,8
8,20220926,-954.8600,940.1000,940.1000,135,11
8,20220927,-1033.6100,1925.8350,1925.8350,146,5
8,20220928,-258.0200,281.4400,275.8700,87,8
8,20220929,-1043.4850,355.0900,-465.0900,116,9
8,20220930,-684.4950,740.6000,-663.2350,114,11
8,20221003,-36.1800,1030.0850,818.8750,75,3
8,20221004,-70.2750,462.5050,450.0350,66,8
8,20221005,-509.6700,1223.2900,1223.2900,79,11
8,20221006,108.7600,1435.6300,917.3900,114,7
8,20221007,-523.5900,64.1300,-322.9800,77,7
8,20221010,-229.7200,970.1150,811.0300,103,11
8,20221011,-912.1400,100.0400,-789.6450,98,14
8,20221012,-44.9600,541.3650,168.4400,94,9
8,20221013,405.0100,7178.4450,5194.9400,244,17
8,20221014,-356.0300,1637.7450,1102.8100,156,8
8,20221017,-452.2700,43.8400,-282.4550,67,7
8,20221018,-1922.4800,-172.4900,-1843.7000,130,10
8,20221019,-223.6500,1248.4400,1248.4400,94,8
9,20220202,-222.5350,921.8350,881.8650,124,4
9,20220203,-11.2400,1144.8750,120.6250,125,7
9,20220204,-1811.1650,1422.1850,1377.3550,173,14
9,20220207,-648.0100,250.8850,-112.7100,104,10
9,20220208,-13.1150,1265.7700,1217.0500,80,3
9,20220209,21.2600,549.2100,414.2600,51,5
9,20220210,-1544.2550,1633.3100,-1364.1550,147,16
9,20220211,-5072.4350,145.1200,-5051.1750,195,19
9,20220214,-1246.9500,1245.8450,544.3600,186,10
9,20220215,-22.4800,1195.0650,1147.6150,74,5
9,20220216,-158.0250,249.3500,239.4200,67,5
9,20220217,-438.5500,208.8100,-224.7850,84,10
9,20220218,-3321.7950,21.2600,-2176.5150,161,10
9,20220222,-3400.3350,657.6700,-3192.1800,157,12
9,20220223,-3557.7950,-11.2400,-3536.5350,159,10
9,20220224,-11.2400,10283.1500,10283.1500,315,8
9,20220225,21.2600,6008.6950,5943.1300,188,7
9,20220228,-177.5350,2691.4750,-177.5350,184,10
9,20220301,-4657.6550,106.2700,-4026.8400,191,14
9,20220302,-113.1050,5575.4900,5575.4900,174,4
9,20220303,-3209.3800,-11.2400,-1239.6100,164,8
9,20220304,-1078.1200,2173.8700,1104.2100,171,15
9,20220307,-3772.5550,26.3200,-3751.2950,183,13
9,20220308,-2167.0000,4777.2100,1484.9450,307,20
9,20220309,-23.7000,2122.0250,2122.0250,140,5
9,20220310,-980.0450,484.3450,484.3450,122,7
9,20220311,-688.3850,-5.0550,-628.6100,139,8
9,20220314,-2231.5300,21.2600,-2013.2050,117,9
9,20220315,-191.1600,1696.1700,1696.1700,117,9
9,20220316,-1527.9000,6744.3500,6744.3500,185,7
9,20220317,-119.9200,1098.8250,1098.8250,70,5
9,20220318,-33.7200,459.8350,232.3950,52,4
9,20220321,-1779.3500,165.8050,-1338.2250,115,11
9,20220322,-21.1900,351.1350,351.1350,51,4
9,20220323,-110.1450,374.0800,-63.6850,69,6
9,20220324,-88.7400,541.0850,541.0850,46,3
9,20220325,-473.5900,230.7200,-35.3800,87,11
9,20220328,-227.2400,358.6050,288.6750,55,7
9,20220329,47.5100,627.4650,426.2750,65,6
9,20220330,-14.8800,345.4600,276.7400,49,9
10,20220202,-633.6350,680.6150,680.6150,124,5
10,20220203,-11.2400,1218.5350,114.3750,125,7
10,20220204,-2372.4150,1302.3550,1302.3550,173,8
10,20220207,-825.5100,278.3850,-130.2100,104,10
10,20220208,-75.5450,2556.9300,2349.5500,80,4
10,20220209,-11.2400,744.2600,744.2600,51,4
10,20220210,-1994.2550,1215.8100,-1814.1550,147,16
10,20220211,-5762.4350,150.1100,-5741.1750,195,20
10,20220214,-1246.9500,1325.1400,-263.1400,186,14
10,20220215,6.3000,966.9700,953.2400,74,5
10,20220216,-190.5250,940.6700,940.6700,67,6
10,20220217,-1187.2850,21.2600,-1187.2850,84,10
10,20220218,-3751.7950,-11.2400,-1967.7650,161,10
10,20220222,-3777.8350,778.9300,-3569.6800,157,11
10,20220223,-4036.5450,-11.2400,-4015.2850,159,16
10,20220224,-11.2400,10479.4000,10479.4000,315,9
10,20220225,10.0200,8792.4350,8686.8800,188,7
10,20220228,21.2600,3826.4750,494.9650,184,10
10,20220301,-6438.9050,-68.7300,-5808.0900,191,14
10,20220302,21.2600,6740.4900,6740.4900,174,7
10,20220331,-352.8150,27.5300,-280.1850,44,6
10,20220401,-894.0650,14.4150,-394.9650,66,11
10,20220404,23.7600,320.2200,320.2200,22,3
10,20220405,-1178.7650,63.7900,-1178.7650,61,9
10,20220406,12.5200,2521.1900,2449.9800,123,7
10,20220407,-415.3050,1693.3600,1693.3600,86,8
10,20220408,-11.2400,673.4550,251.8700,62,8
10,20220411,-235.8400,58.8600,-214.5800,42,3
10,20220412,-2229.7450,280.7650,-2229.7450,88,15
10,20220413,-11.2400,1122.3250,1122.3250,45,3
10,20220414,-547.4550,63.8100,-547.4550,67,8
10,20220418,-1252.3750,21.2600,-1252.3750,75,12
10,20220419,25.0100,388.6350,388.6350,51,8
10,20220420,-185.2150,190.9450,-67.5650,56,5
10,20220421,-4945.0500,-11.2400,-4945.0500,120,13
10,20220422,-2518.4950,21.2600,-2415.9050,97,10
10,20220425,-1200.2150,4180.1250,4135.1650,204,13
10,20220426,-1502.8950,257.5550,-1481.6350,149,8
10,20220427,21.2600,2760.8500,497.6650,204,15
10,20220428,138.7900,6531.8850,6363.1950,132,4
11,20220202,-630.4900,644.3650,644.3650,124,5
11,20220203,-11.2400,1218.5350,664.3750,125,8
11,20220204,-2372.4150,854.8550,854.8550,173,8
11,20220207,-443.0100,278.3850,219.7900,104,10
11,20220208,-75.5450,2129.4300,1954.5500,80,4
11,20220209,-11.2400,709.2400,694.2600,51,2
11,20220210,-2011.7550,1198.3100,-1831.6550,147,16
11,20220211,-5557.4350,150.1100,-5536.1750,195,20
11,20220214,-1246.9500,892.0950,-374.3900,186,14
11,20220215,6.3000,1163.2200,1149.4900,74,5
11,20220216,-190.5250,790.6700,790.6700,67,6
11,20220217,-1244.7850,21.2600,-1244.7850,84,10
11,20220218,-3314.2950,-11.2400,-1530.2650,161,10
11,20220222,-3525.3350,778.9300,-3317.1800,157,11
11,20220223,-4249.0450,-11.2400,-4227.7850,159,16
11,20220224,-11.2400,10421.9000,10421.9000,315,9
11,20220225,10.0200,8023.6850,7918.1300,188,7
11,20220228,21.2600,3728.8950,269.9650,184,10
11,20220301,-5853.9050,-68.7300,-5223.0900,191,14
11,20220302,21.2600,5771.7400,5771.7400,174,7
11,20220429,-3224.2950,293.2950,-3204.2550,137,15
11,20220502,-5332.7200,-11.2400,-177.3500,265,11
11,20220503,-33.7200,1853.6300,1704.8950,177,8
11,20220504,-43.0850,22401.0300,22401.0300,228,5
11,20220505,-5398.2800,21.2600,-5387.0100,299,11
11,20220506,-2941.0000,1536.5100,-1170.6800,307,14
11,20220509,-917.7600,1217.1500,-917.7600,224,14
11,20220510,-2556.4100,2752.2400,1054.3600,311,10
11,20220511,-5181.2700,147.6100,-5181.2700,248,11
11,20220512,-6973.9500,333.3150,-4556.6750,270,11
11,20220513,-1134.1700,1268.7600,1268.7600,126,10
11,20220516,-118.0350,2894.9800,2187.7500,150,6
11,20220517,-44.9600,4224.9100,4224.9100,116,4
11,20220518,-4211.5850,-166.2400,-4180.3150,156,13
11,20220519,20.0100,6630.3050,5597.5700,257,10
11,20220520,-3781.5900,-11.2400,-1129.2800,197,19
11,20220523,130.0100,2413.5950,2206.3900,139,7
11,20220524,-17.4500,4879.3600,4879.3600,186,13
11,20220525,-914.6300,4683.5550,4653.0000,175,8
11,20220526,21.2600,539.7450,469.2500,50,6
12,20220202,-197.0200,1175.6150,1175.6150,124,5
12,20220203,-11.2400,1016.6400,76.8750,125,7
12,20220204,-2019.9150,1219.8550,1219.8550,173,8
12,20220207,-500.5100,240.8850,67.2900,104,10
12,20220208,-13.1150,1807.2650,1649.5500,80,7
12,20220209,21.2600,507.2550,365.5100,51,4
12,20220210,-1536.7550,1275.8100,-1356.6550,147,16
12,20220211,-4899.9350,145.1200,-4878.6750,195,20
12,20220214,-861.9500,1652.1450,1038.1100,186,14
12,20220215,-11.2400,935.6700,834.4900,74,4
12,20220216,-190.5250,424.4200,424.4200,67,6
12,20220217,-745.2950,187.5300,-699.7850,84,10
