split_idx,day,pnl,n_trades,hold_skips,time_skips,dsl_skips,dsl_triggered,total_bars
26,20220707,187.2050,33,731,626,0,False,4630
26,20220708,-350.5500,70,689,641,0,False,4630
26,20220711,184.8650,49,700,714,0,False,4630
26,20220712,716.9200,67,699,741,0,False,4630
26,20220713,992.9550,108,678,747,0,False,4630
26,20220714,2955.4250,105,687,675,0,False,4630
26,20220715,-22.1100,39,758,680,0,False,4630
26,20220718,-1122.0200,48,676,691,0,False,4630
26,20220719,-79.6600,34,720,774,0,False,4630
26,20220720,1002.6950,82,632,794,0,False,4630
26,20220721,1340.7300,73,649,693,0,False,4630
26,20220722,-1181.6400,86,678,625,0,False,4630
26,20220725,253.7150,59,650,737,0,False,4630
26,20220726,22.3450,47,518,900,0,False,4630
27,20220331,241.0650,44,583,845,0,False,4630
27,20220401,1008.7850,66,671,742,0,False,4630
27,20220404,-234.7800,22,775,624,0,False,4630
27,20220405,452.4850,61,687,714,0,False,4630
27,20220406,2259.9800,123,676,761,0,False,4630
27,20220407,1395.8600,86,687,739,0,False,4630
27,20220408,-586.8800,62,669,769,0,False,4630
27,20220411,-92.0800,42,666,750,0,False,4630
27,20220412,-970.9950,88,671,757,0,False,4630
27,20220413,-631.4250,45,675,752,0,False,4630
27,20220414,673.7950,67,693,730,0,False,4630
27,20220418,206.3750,75,580,833,0,False,4630
27,20220419,48.6350,51,572,861,0,False,4630
27,20220420,124.9350,56,544,894,0,False,4630
27,20220421,-652.5500,120,554,855,0,False,4630
27,20220422,1104.0950,97,522,909,0,False,4630
27,20220425,4826.4150,204,649,787,0,False,4630
27,20220426,-1494.1350,149,329,1111,0,False,4630
27,20220427,-822.3350,204,369,1032,0,False,4630
27,20220428,1546.9450,132,166,1272,0,False,4630
27,20220727,3914.4400,69,604,837,0,False,4630
27,20220728,-859.4700,53,407,992,0,False,4630
27,20220729,-160.7300,52,690,745,0,False,4630
27,20220801,591.5950,97,698,737,0,False,4630
27,20220802,-742.9500,80,680,736,0,False,4630
27,20220803,-573.2800,47,663,723,0,False,4630
27,20220804,-323.7850,59,714,685,0,False,4630
27,20220805,668.2100,71,692,745,0,False,4630
27,20220808,1671.9200,67,699,698,0,False,4630
27,20220809,82.3850,51,696,672,0,False,4630
27,20220810,182.8800,38,685,554,0,False,4630
27,20220811,1361.3250,70,689,718,0,False,4630
27,20220812,-448.5200,23,888,652,0,False,4630
27,20220815,-504.7200,28,796,537,0,False,4630
27,20220816,-128.2300,52,714,725,0,False,4630
27,20220817,122.7250,85,710,679,0,False,4630
27,20220818,-57.0700,43,696,581,0,False,4630
27,20220819,179.7950,42,707,685,0,False,4630
27,20220822,-320.8300,42,703,724,0,False,4630
27,20220823,425.7600,76,709,725,0,False,4630
28,20220331,548.5650,44,588,840,0,False,4630
28,20220401,475.0350,66,670,743,0,False,4630
28,20220404,61.4700,22,724,642,0,False,4630
28,20220405,522.4850,61,674,727,0,False,4630
28,20220406,2106.2300,123,672,765,0,False,4630
28,20220407,1409.6100,86,684,742,0,False,4630
28,20220408,564.3700,62,668,770,0,False,4630
28,20220411,-130.8300,42,665,751,0,False,4630
28,20220412,-1217.2450,88,671,757,0,False,4630
28,20220413,159.8250,45,674,753,0,False,4630
28,20220414,268.7950,67,679,744,0,False,4630
28,20220418,-779.8750,75,574,839,0,False,4630
28,20220419,138.6350,51,577,856,0,False,4630
28,20220420,279.9350,56,542,896,0,False,4630
28,20220421,-1885.0500,120,562,847,0,False,4630
28,20220422,-133.4050,97,522,909,0,False,4630
28,20220425,3341.4150,204,656,780,0,False,4630
28,20220426,-1020.3850,149,367,1073,0,False,4630
28,20220427,-893.5850,204,392,1009,0,False,4630
28,20220428,2308.1950,132,183,1255,0,False,4630
28,20220824,173.5350,41,717,658,0,False,4630
28,20220825,887.2950,42,719,687,0,False,4630
28,20220826,200.9000,90,655,697,0,False,4630
28,20220829,305.2350,86,682,742,0,False,4630
28,20220830,501.2300,123,668,744,0,False,4630
28,20220831,-621.4300,107,666,770,0,False,4630
28,20220901,951.6350,101,673,751,0,False,4630
28,20220902,-2127.5450,58,669,0,2240,True,4630
28,20220906,1742.1250,150,671,742,0,False,4630
28,20220907,589.3900,64,674,647,0,False,4630
28,20220908,2712.3300,108,701,727,0,False,4630
28,20220909,758.0300,53,795,634,0,False,4630
28,20220912,674.4500,70,712,621,0,False,4630
28,20220913,-967.3050,82,654,697,0,False,4630
28,20220914,423.4400,94,675,684,0,False,4630
28,20220915,-105.1200,113,548,886,0,False,4630
28,20220916,650.2750,90,667,759,0,False,4630
28,20220919,1357.7250,85,649,788,0,False,4630
28,20220920,909.4600,71,667,755,0,False,4630
28,20220921,-2221.3550,177,536,0,954,True,4630
29,20220331,358.5650,44,590,838,0,False,4630
29,20220401,630.0350,66,671,742,0,False,4630
29,20220404,5.2200,22,724,637,0,False,4630
29,20220405,567.4850,61,676,725,0,False,4630
29,20220406,2407.4800,123,673,764,0,False,4630
29,20220407,1719.6100,86,685,741,0,False,4630
29,20220408,456.8700,62,668,770,0,False,4630
29,20220411,-18.3300,42,666,750,0,False,4630
29,20220412,-1182.2450,88,667,761,0,False,4630
29,20220413,204.8250,45,673,754,0,False,4630
29,20220414,387.5450,67,687,736,0,False,4630
29,20220418,-552.3750,75,580,833,0,False,4630
29,20220419,171.1350,51,577,856,0,False,4630
29,20220420,257.4350,56,553,885,0,False,4630
29,20220421,-1687.5500,120,561,848,0,False,4630
29,20220422,-170.9050,97,527,904,0,False,4630
29,20220425,3431.4150,204,658,778,0,False,4630
29,20220426,-1467.8850,149,379,1061,0,False,4630
29,20220427,-768.5850,204,406,995,0,False,4630
29,20220428,2308.1950,132,182,1256,0,False,4630
29,20220922,417.1700,92,671,764,0,False,4630
29,20220923,694.6700,92,620,809,0,False,4630
29,20220926,405.1000,135,604,830,0,False,4630
29,20220927,832.0850,146,660,771,0,False,4630
29,20220928,155.8700,87,650,771,0,False,4630
29,20220929,-680.0900,116,629,798,0,False,4630
29,20220930,-1130.7350,114,610,821,0,False,4630
29,20221003,383.8750,75,669,757,0,False,4630
29,20221004,645.0350,66,665,768,0,False,4630
29,20221005,628.2900,79,657,783,0,False,4630
29,20221006,1324.8900,114,621,797,0,False,4630
29,20221007,-499.2300,77,661,768,0,False,4630
29,20221010,1157.2900,104,675,762,0,False,4630
29,20221011,-1923.3950,98,671,769,0,False,4630
29,20221012,-419.0600,94,688,740,0,False,4630
29,20221013,7404.9400,244,670,763,0,False,4630
29,20221014,1000.3100,156,670,746,0,False,4630
29,20221017,-319.9550,67,693,741,0,False,4630
29,20221018,513.8000,130,571,866,0,False,4630
29,20221019,573.4400,94,540,860,0,False,4630
30,20220429,-1039.2550,137,556,882,0,False,4630
30,20220502,-2111.6650,146,591,0,2457,True,4630
30,20220503,1209.8950,177,550,865,0,False,4630
30,20220504,4122.2800,228,677,760,0,False,4630
30,20220505,-783.2600,299,534,890,0,False,4630
30,20220506,-2026.6750,270,622,0,1288,True,4630
30,20220509,-474.0100,224,583,853,0,False,4630
30,20220510,2831.8600,311,571,869,0,False,4630
30,20220511,-1851.2700,248,570,866,0,False,4630
30,20220512,-2002.7700,98,498,0,3054,True,4630
30,20220513,-2134.6950,93,658,0,1310,True,4630
30,20220516,2272.7500,150,668,672,0,False,4630
30,20220517,1529.9100,116,703,714,0,False,4630
30,20220518,-2012.8200,93,533,0,2098,True,4630
30,20220519,3528.8200,257,612,826,0,False,4630
30,20220520,1253.2200,197,580,849,0,False,4630
30,20220523,758.8900,139,699,727,0,False,4630
30,20220524,3279.3600,186,651,776,0,False,4630
30,20220525,1156.7500,175,497,935,0,False,4630
30,20220526,146.7500,50,670,749,0,False,4630
30,20220527,-268.3800,37,686,738,0,False,4630
30,20220531,1174.9600,121,580,836,0,False,4630
30,20220601,997.5300,128,669,732,0,False,4630
30,20220602,792.0200,77,708,732,0,False,4630
30,20220603,-412.7400,101,684,751,0,False,4630
30,20220606,804.0350,91,700,737,0,False,4630
30,20220607,24.4400,69,704,726,0,False,4630
30,20220608,544.7100,96,715,718,0,False,4630
30,20220609,-781.4500,105,701,728,0,False,4630
30,20220610,967.4800,123,637,778,0,False,4630
30,20220613,-1707.4650,191,552,865,0,False,4630
30,20220614,125.3400,159,636,800,0,False,4630
30,20220615,8439.3850,251,647,792,0,False,4630
30,20220616,-1082.2000,155,385,1053,0,False,4630
30,20220617,1599.3700,187,608,830,0,False,4630
30,20220621,-92.5650,56,698,728,0,False,4630
30,20220622,339.0150,89,678,750,0,False,4630
30,20220623,282.8550,98,699,727,0,False,4630
30,20220624,-22.7350,39,793,613,0,False,4630
30,20220627,607.1300,88,678,745,0,False,4630
31,20220429,-1264.2550,137,544,894,0,False,4630
31,20220502,1040.1500,265,583,857,0,False,4630
31,20220503,1034.8950,177,507,908,0,False,4630
31,20220504,18707.2800,228,671,766,0,False,4630
31,20220505,3462.9900,299,514,910,0,False,4630
31,20220506,-439.4300,307,612,826,0,False,4630
31,20220509,-1039.0100,224,564,872,0,False,4630
31,20220510,2695.6100,311,537,903,0,False,4630
31,20220511,-2048.6400,136,569,0,2352,True,4630
31,20220512,-2178.5200,148,454,0,2565,True,4630
