trade_idx,split_00,split_01,split_02,split_03,split_04,split_05,split_06,split_07,split_08,split_09,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44
30,487.8100,85.3100,487.8100,187.8100,205.3100,-82.1900,-477.1900,285.3100,252.8100,77.8100,-148.4400,-148.4400,96.5600,-148.4400,31.5600,370.3100,274.0600,-1894.0650,969.6850,-236.5650,1029.6850,2054.6850,717.1850,717.1850,38.4350,260.9350,2.1850,213.4350,438.4350,330.9350,53.4350,143.4350,473.4350,652.1850,619.6850,-524.0650,-447.8150,-234.0650,-347.8150,2127.1850,-45.3150,-100.3150,1121.5600,1182.8100,249.0600
31,485.3200,82.8200,485.3200,185.3200,202.8200,-84.6800,-479.6800,282.8200,250.3200,66.5700,-159.6800,-159.6800,85.3200,-159.6800,20.3200,391.5700,295.3200,-1905.3050,990.9450,-215.3050,1050.9450,2075.9450,738.4450,738.4450,27.1950,249.6950,23.4450,234.6950,427.1950,352.1950,-21.5550,68.4450,543.4450,577.1950,544.6950,-554.6800,-422.1800,-208.4300,-322.1800,2148.4450,-56.5550,-111.5550,1351.5700,1435.3200,260.3200
32,506.5800,104.0800,506.5800,206.5800,224.0800,-63.4200,-490.9200,271.5800,239.0800,-19.6700,-245.9200,-245.9200,-0.9200,-245.9200,-65.9200,305.3300,209.0800,-2119.6700,1200.3300,-429.6700,836.5800,2285.3300,947.8300,947.8300,84.7050,307.2050,80.9550,292.2050,484.7050,409.7050,-0.2950,57.2050,532.2050,565.9550,533.4550,-638.4200,-505.9200,-292.1700,-405.9200,2169.7050,-35.2950,-90.2950,1604.0800,1456.5800,226.5800
33,527.8400,125.3400,527.8400,227.8400,245.3400,-42.1600,-502.1600,260.3400,227.8400,1.5900,-224.6600,-224.6600,20.3400,-224.6600,-44.6600,294.0900,230.3400,-2329.6600,1405.3400,-224.6600,1041.5900,2490.3400,1152.8400,1152.8400,105.9650,328.4650,102.2150,313.4650,505.9650,430.9650,99.7150,157.2150,632.2150,665.9650,633.4650,-592.1600,-459.6600,-245.9100,-359.6600,2190.9650,-14.0350,-69.0350,1625.3400,1477.8400,215.3400
34,516.6000,114.1000,516.6000,216.6000,234.1000,-53.4000,-480.9000,281.6000,249.1000,22.8500,-235.9000,-235.9000,9.1000,-235.9000,-55.9000,315.3500,251.6000,-2308.4000,1394.1000,-235.9000,1030.3500,2479.1000,1141.6000,1141.6000,127.2250,349.7250,123.4750,334.7250,527.2250,452.2250,120.9750,145.9750,620.9750,654.7250,622.2250,-523.4000,-390.9000,-177.1500,-290.9000,2182.2250,-22.7750,-77.7750,1646.6000,1466.6000,202.8500
35,505.3600,102.8600,505.3600,205.3600,222.8600,-64.6400,-459.6400,302.8600,270.3600,11.6100,-247.1400,-247.1400,-2.1400,-247.1400,-67.1400,304.1100,240.3600,-2319.6400,1415.3600,-247.1400,1019.1100,2500.3600,1162.8600,1162.8600,148.4850,370.9850,144.7350,355.9850,548.4850,473.4850,109.7350,134.7350,609.7350,643.4850,610.9850,-502.1400,-369.6400,-155.8900,-269.6400,2157.2350,-47.7650,-102.7650,1635.3600,1701.6100,224.1100
36,461.6200,59.1200,461.6200,161.6200,179.1200,-108.3800,-420.8800,259.1200,309.1200,0.3700,-258.3800,-258.3800,-13.3800,-258.3800,-78.3800,292.8700,229.1200,-2298.3800,1404.1200,-225.8800,1040.3700,2489.1200,1184.1200,1151.6200,169.7450,392.2450,165.9950,377.2450,569.7450,462.2450,245.9950,270.9950,745.9950,779.7450,747.2450,-513.3800,-380.8800,-167.1300,-280.8800,2158.4950,-46.5050,-101.5050,1870.3700,1944.7450,245.3700
37,482.8800,80.3800,482.8800,182.8800,200.3800,-87.1200,-432.1200,247.8800,297.8800,-10.8700,-269.6200,-269.6200,-24.6200,-269.6200,-89.6200,281.6300,217.8800,-2309.6200,1425.3800,-204.6200,1061.6300,2510.3800,1205.3800,1172.8800,137.2550,359.7550,133.5050,344.7550,537.2550,429.7550,102.2550,127.2550,884.7550,636.0050,886.0050,-492.1200,-359.6200,-145.8700,-292.1200,2163.5050,-41.4950,-96.4950,2113.5050,1966.0050,289.7550
38,504.1400,101.6400,504.1400,204.1400,221.6400,-65.8600,-443.3600,236.6400,286.6400,-83.3600,-342.1100,-342.1100,-97.1100,-342.1100,-162.1100,209.1400,145.3900,-2320.8600,1446.6400,-215.8600,1050.3900,2531.6400,1226.6400,1194.1400,109.7650,332.2650,106.0150,317.2650,559.7650,402.2650,-35.8600,260.3900,1017.8900,769.1400,1019.1400,-527.1100,-394.6100,-180.8600,-327.1100,2184.7650,-20.2350,-75.2350,2134.7650,2237.2650,332.2650
39,492.9000,122.9000,492.9000,225.4000,242.9000,-44.6000,-422.1000,257.9000,307.9000,-62.1000,-320.8500,-320.8500,-75.8500,-320.8500,-140.8500,230.4000,166.6500,-2528.3500,1649.1500,-13.3500,1252.9000,2734.1500,1429.1500,1396.6500,98.5250,321.0250,94.7750,306.0250,548.5250,391.0250,-154.6000,141.6500,1131.6500,882.9000,1132.9000,-538.3500,-405.8500,-159.6000,-305.8500,2206.0250,1.0250,-53.9750,2406.0250,2226.0250,353.5250
