split_idx,day,pnl,n_trades,hold_skips,time_skips,total_bars
22,20220902,300.6950,132,668,765,4630
22,20220906,502.1250,150,672,741,4630
22,20220907,326.8900,64,688,633,4630
22,20220908,3099.8300,108,685,743,4630
22,20220909,620.5200,52,883,578,4630
22,20220912,571.3250,70,717,625,4630
22,20220913,955.1950,82,681,671,4630
22,20220914,457.1900,94,684,677,4630
22,20220915,212.3800,113,654,780,4630
22,20220916,-169.7250,90,682,744,4630
22,20220919,405.2250,85,654,783,4630
22,20220920,-198.0400,71,655,767,4630
22,20220921,-2178.2000,180,711,926,4630
23,20220303,3324.1400,164,33,1380,4630
23,20220304,1024.2100,171,20,1408,4630
23,20220307,-1653.7950,183,24,1408,4630
23,20220308,-3908.8050,307,16,1414,4630
23,20220309,1332.0250,140,33,1384,4630
23,20220310,3069.3450,122,37,1388,4630
23,20220311,812.6400,139,195,1245,4630
23,20220314,71.7950,117,664,755,4630
23,20220315,382.4400,119,667,623,4630
23,20220316,5033.0900,184,664,824,4630
23,20220317,406.3250,70,628,785,4630
23,20220318,-132.6050,52,691,748,4630
23,20220321,561.7750,115,658,655,4630
23,20220322,84.2200,47,697,712,4630
23,20220323,135.0550,68,695,753,4630
23,20220324,-253.9150,46,704,712,4630
23,20220325,-157.8800,87,687,744,4630
23,20220328,436.1750,55,692,729,4630
23,20220329,373.1500,65,703,721,4630
23,20220330,367.9400,44,681,695,4630
23,20220922,-435.3300,92,665,770,4630
23,20220923,887.1700,92,614,815,4630
23,20220926,837.6000,135,576,858,4630
23,20220927,315.8350,146,645,786,4630
23,20220928,-184.1300,87,639,782,4630
23,20220929,-348.8400,116,623,804,4630
23,20220930,-645.7350,114,593,838,4630
23,20221003,595.1250,75,660,766,4630
23,20221004,188.1700,67,660,778,4630
23,20221005,-170.4600,79,647,793,4630
23,20221006,1404.8900,114,617,801,4630
23,20221007,99.5200,77,659,770,4630
23,20221010,1254.7900,104,677,760,4630
23,20221011,-1493.3950,98,674,766,4630
23,20221012,-6.5600,94,681,747,4630
23,20221013,6281.1900,244,666,767,4630
23,20221014,575.3100,156,672,744,4630
23,20221017,-349.9550,67,681,753,4630
23,20221018,656.3000,130,557,880,4630
